Entry,"Pair (event_id, vertex_id)",interactions,stack,segments,trajectories
146,"(44, 1000000002000156)",1,6,1,19
147,"(44, 2000013)",1,6,274,571
148,"(44, 1000000002000157)",1,8,333,327
149,"(45, 1000000002000159)",1,10,12,473
150,"(45, 1000000002000161)",1,8,35,39
151,"(45, 1000000002000168)",1,12,25,116
152,"(45, 2000020)",1,19,10,1159
153,"(46, 1000000002000173)",1,18,37,110
154,"(46, 1000000002000174)",1,9,15,33
155,"(46, 2000026)",1,6,362,337
156,"(46, 2000027)",1,13,17,2157
157,"(47, 2000028)",1,10,1,1440
158,"(47, 1000000002000203)",1,6,12,17
159,"(47, 2000029)",1,7,19,51
160,"(47, 1000000002000224)",1,8,1,82
161,"(49, 1000000002000257)",1,15,13,255
162,"(49, 1000000002000258)",1,6,11,19
163,"(49, 2000035)",1,5,54,825
164,"(49, 1000000002000263)",1,19,147,256
165,"(49, 1000000002000269)",1,10,18,29
166,"(50, 1000000002000281)",1,12,98,189
167,"(50, 1000000002000286)",1,17,242,293
168,"(50, 1000000002000287)",1,13,15,130
169,"(50, 1000000002000303)",1,7,166,279
170,"(50, 1000000002000304)",1,6,19,22
171,"(51, 1000000002000306)",1,7,288,283
172,"(51, 1000000002000308)",1,9,117,239
173,"(51, 1000000002000318)",1,10,7,117
174,"(51, 2000045)",1,9,102,2008
175,"(51, 2000046)",1,6,92,486
176,"(52, 2000049)",1,13,4,2008
177,"(52, 2000050)",1,9,47,4949
178,"(53, 1000000002000356)",1,5,286,442
179,"(53, 1000000002000369)",1,5,10,31
180,"(53, 1000000002000379)",1,5,89,102
181,"(53, 1000000002000383)",1,10,52,450
182,"(54, 2000056)",1,9,85,742
183,"(54, 1000000002000400)",1,6,15,36
184,"(55, 1000000002000411)",1,11,9,169
185,"(55, 1000000002000415)",1,19,138,194
186,"(55, 2000058)",1,9,1361,1160
187,"(55, 2000060)",1,7,96,276
188,"(55, 1000000002000431)",1,11,7,27
189,"(55, 1000000002000436)",1,8,2,113
190,"(56, 2000064)",1,9,84,378
191,"(56, 1000000002000463)",1,5,75,50
192,"(56, 2000065)",1,12,793,2096
193,"(56, 2000066)",1,12,431,1025
194,"(57, 2000068)",1,6,129,242
195,"(57, 1000000002000475)",1,19,152,357
196,"(57, 2000070)",1,5,20,924
197,"(57, 1000000002000487)",1,7,4,110
198,"(57, 1000000002000489)",1,16,1,41
199,"(58, 1000000002000499)",1,9,51,126
200,"(58, 1000000002000502)",1,18,3,169
201,"(59, 1000000002000525)",1,5,162,435
202,"(59, 1000000002000527)",1,9,1,94
203,"(59, 1000000002000535)",1,16,294,487
204,"(59, 1000000003000013)",1,19,10,243
205,"(59, 2000082)",1,5,25,867
206,"(60, 2000084)",1,5,4226,3338
207,"(60, 2000086)",1,11,182,1102
208,"(62, 1000000003000064)",1,21,11,319
209,"(62, 1000000003000077)",1,4,4,25
210,"(62, 3000004)",1,6,36,666
211,"(63, 3000009)",1,10,52,943
212,"(63, 1000000003000092)",1,4,128,218
213,"(63, 3000010)",1,9,345,221
214,"(64, 3000013)",1,6,50,610
215,"(65, 3000020)",1,9,784,1503
216,"(65, 1000000003000159)",1,15,164,243
217,"(66, 1000000003000167)",1,9,16,20
218,"(66, 1000000003000174)",1,30,16,105
219,"(66, 1000000003000176)",1,13,350,529
220,"(66, 1000000003000183)",1,10,18,152
221,"(66, 3000024)",1,6,39,350
222,"(66, 1000000003000202)",1,6,2,15
223,"(67, 1000000003000208)",1,7,3,599
224,"(67, 1000000003000209)",1,7,99,81
225,"(67, 1000000003000214)",1,7,38,25
226,"(67, 1000000003000218)",1,20,8,281
227,"(67, 1000000003000220)",1,16,59,169
228,"(67, 1000000003000225)",1,11,2,59
229,"(67, 3000032)",1,6,2,3495
230,"(68, 3000034)",1,5,195,210
231,"(68, 1000000003000227)",1,17,55,2198
232,"(68, 1000000003000230)",1,8,59,117
233,"(68, 3000036)",1,7,72,89
234,"(69, 3000039)",1,10,293,5220
235,"(69, 1000000003000243)",1,8,22,31
236,"(69, 1000000003000247)",1,8,200,229
237,"(69, 1000000003000259)",1,4,6,94
238,"(70, 3000043)",1,7,842,680
239,"(70, 1000000003000284)",1,10,26,767
240,"(70, 1000000003000286)",1,5,2,9
241,"(71, 1000000003000307)",1,13,2,22
242,"(71, 1000000003000315)",1,17,73,106
243,"(72, 3000048)",1,29,6,28435
244,"(72, 3000051)",1,7,8,741
245,"(72, 1000000003000347)",1,7,37,38
246,"(73, 3000054)",1,14,11,32
247,"(73, 1000000003000365)",1,8,6,23
248,"(73, 3000058)",1,5,9,2102
249,"(73, 1000000003000373)",1,4,11,27
250,"(73, 1000000003000380)",1,8,20,588
251,"(73, 3000059)",1,7,370,4321
252,"(73, 1000000003000385)",1,8,21,70
253,"(74, 1000000003000388)",1,11,14,343
254,"(74, 1000000003000393)",1,7,2,9
255,"(74, 3000063)",1,6,6,25
256,"(74, 1000000003000412)",1,7,1,898
257,"(75, 1000000003000421)",1,6,1274,961
258,"(75, 1000000003000427)",1,6,1,12
259,"(75, 1000000003000429)",1,11,24,662
260,"(75, 1000000003000431)",1,7,111,73
261,"(75, 1000000003000433)",1,8,2,41
262,"(76, 1000000003000446)",1,6,113,413
263,"(76, 1000000003000455)",1,5,11,46
264,"(76, 1000000003000462)",1,5,9,411
265,"(76, 1000000003000463)",1,8,150,246
266,"(76, 3000068)",1,5,2,469
267,"(77, 4000001)",1,4,55,43
268,"(77, 1000000003000476)",1,7,1,15
269,"(77, 1000000003000482)",1,9,136,309
270,"(77, 4000004)",1,6,491,787
271,"(77, 4000005)",1,9,358,800
272,"(78, 4000006)",1,6,15,130
273,"(78, 1000000004000022)",1,9,29,285
274,"(78, 1000000004000026)",1,16,3,61
275,"(78, 4000008)",1,7,34,1151
276,"(78, 1000000004000028)",1,30,65,1389
277,"(78, 4000009)",1,15,7881,6733
278,"(79, 4000011)",1,31,67,108
279,"(79, 1000000004000039)",1,8,157,308
280,"(80, 1000000004000064)",1,6,17,65
