Entry,"Pair (event_id, vertex_id)",interactions,stack,segments,trajectories
626,"(185, 1000000009000110)",1,27,203,306
627,"(185, 1000000009000111)",1,6,39,63
628,"(185, 9000027)",1,6,27,1021
629,"(185, 9000028)",1,45,324,551
630,"(185, 1000000009000119)",1,9,7,15
631,"(186, 9000029)",1,6,196,212
632,"(186, 1000000009000129)",1,7,1,314
633,"(186, 1000000009000143)",1,8,15,266
634,"(186, 1000000009000144)",1,5,1,7
635,"(186, 9000031)",1,12,9,13164
636,"(187, 1000000009000160)",1,6,2,58
637,"(187, 1000000009000162)",1,11,39,38
638,"(188, 1000000009000180)",1,6,3,297
639,"(188, 1000000009000185)",1,12,76,75
640,"(188, 1000000009000192)",1,13,24,63
641,"(189, 1000000009000209)",1,10,55,653
642,"(189, 9000037)",1,7,482,386
643,"(190, 1000000009000225)",1,8,389,467
644,"(190, 9000040)",1,6,114,1061
645,"(190, 9000043)",1,8,316,707
646,"(191, 9000045)",1,13,322,1458
647,"(191, 1000000009000241)",1,7,9,37
648,"(191, 1000000009000252)",1,13,1,26
649,"(191, 1000000009000257)",1,6,35,1077
650,"(192, 1000000009000271)",1,6,21,28
651,"(192, 9000051)",1,18,7,2290
652,"(192, 1000000009000286)",1,7,13,243
653,"(193, 1000000009000306)",1,11,66,63
654,"(193, 1000000009000308)",1,8,160,323
655,"(194, 9000056)",1,21,11,3047
656,"(194, 1000000009000330)",1,9,83,467
657,"(194, 1000000009000332)",1,7,347,370
658,"(194, 1000000009000336)",1,14,133,312
659,"(195, 9000059)",1,26,5,13796
660,"(195, 1000000009000352)",1,9,96,821
661,"(195, 1000000009000361)",1,7,136,208
662,"(195, 1000000009000364)",1,5,26,92
663,"(195, 9000060)",1,11,38,8009
664,"(196, 1000000009000368)",1,12,1,914
665,"(196, 9000061)",1,6,68,38
666,"(196, 1000000009000378)",1,9,15,49
667,"(196, 9000067)",1,5,9,2341
668,"(196, 9000068)",1,7,2,86
669,"(196, 1000000009000389)",1,7,287,220
670,"(197, 1000000009000395)",1,6,3,58
671,"(197, 9000073)",1,5,6,578
672,"(197, 1000000009000411)",1,10,3,214
673,"(197, 9000075)",1,16,61,3182
674,"(198, 1000000009000422)",1,5,466,408
675,"(198, 9000077)",1,8,3104,2759
676,"(198, 9000081)",1,24,7,1704
